text,categories
"Your bank account will be blocked today. Send your OTP immediately to verify your account.",PHISHING|CREDENTIAL_THEFT
"Congratulations! You won a $1,000,000 lottery! Click here to claim your cash reward now http://bit.ly/claim-prize",SCAM|INVESTMENT_SCAM|PHISHING
"Pay me ₹50,000 in Bitcoin within 24 hours or I will publish your private intimate photos online.",BLACKMAIL|FINANCIAL_COERCION|THREAT
"Hey, are you coming to the team meeting tomorrow at 10 AM?",SAFE
"URGENT: Your HDFC bank account is suspended. Verify credentials at http://192.168.1.1/login-verify",PHISHING|CREDENTIAL_THEFT
"Double your money in 3 days! Guaranteed 200% crypto returns. Send 0.1 BTC to this wallet address immediately.",INVESTMENT_SCAM|SCAM
"We noticed suspicious login from IP 192.168.0.1. Reset your password immediately at http://secure-update-bank.com",PHISHING|CREDENTIAL_THEFT
"Work from home and earn $500/hour doing simple data entry! No experience needed. Pay $50 registration fee to start.",JOB_SCAM|SCAM|FINANCIAL_COERCION
"You are so stupid and useless. Nobody likes you, quit posting on social media or else.",CYBERBULLYING
"If you don't send money right now, I will find out where you live and ruin your life.",THREAT|FINANCIAL_COERCION
"Can you please review the attached quarterly report when you get a chance? Thanks!",SAFE
"WARNING: Your Netflix subscription has expired. Update your credit card details immediately at http://netflix-billing-update.xyz",PHISHING|CREDENTIAL_THEFT
"Send me your WhatsApp OTP code right now, I sent it by mistake to your phone number.",CREDENTIAL_THEFT|SCAM
"I have recorded video of you watching private sites. Send $500 to my account or I send it to your contacts.",BLACKMAIL|FINANCIAL_COERCION|THREAT
"We are hiring remote Customer Support Executives! $40/hr. Deposit $100 for equipment shipment to begin.",JOB_SCAM|SCAM
"Hi Mom, I lost my phone and this is my new number. Can you wire me $500 urgently for emergency medical bills?",SCAM|FINANCIAL_COERCION
"If you show up to school tomorrow, you will regret it. We are going to mess you up.",THREAT|CYBERBULLYING
"Exclusive investment opportunity in artificial intelligence stock trading! Guaranteed daily profits.",INVESTMENT_SCAM
"Your Apple ID has been locked due to security reasons. Verify your password at http://apple-id-verify.co.site",PHISHING|CREDENTIAL_THEFT
"Stop commenting on my photos you ugly pathetic loser, nobody wants you here.",CYBERBULLYING
"Dear customer, your parcel delivery failed. Pay $2 re-delivery fee at http://postal-track-update.com",PHISHING|SCAM
"Let's grab lunch near the office today at 1 PM.",SAFE
"Pay off your loan debt immediately or law enforcement officers will be dispatched to your address today.",FINANCIAL_COERCION|THREAT
"Your Amazon order #849-20194 has shipped. View tracking at https://amazon.com/orders",SAFE
"Send your account username and password to claim your free Instagram blue badge verification.",CREDENTIAL_THEFT|SCAM
"Guaranteed Forex trading signals with 99% accuracy rate. Join our VIP Telegram channel for $200.",INVESTMENT_SCAM|SCAM
"I will ruin your career and post your private emails all over Twitter if you don't transfer the funds.",BLACKMAIL|FINANCIAL_COERCION|THREAT
"URGENT NOTICE: Your IT password expires in 2 hours. Click http://corporate-sso-auth.top to retain access.",PHISHING|CREDENTIAL_THEFT
"Great job on the presentation today, team!",SAFE
"You won a brand new iPhone 15 Pro Max! Pay $10 shipping fee to claim immediately.",SCAM
"If you ever talk to my ex again, I will track you down and hurt you.",THREAT|CYBERBULLYING
"High income online job! Earn ₹50,000 monthly by liking YouTube videos. Pay initial security deposit.",JOB_SCAM|SCAM
"We have compromised your router and webcam. Send 0.05 BTC within 48 hours to stop release of data.",BLACKMAIL|THREAT|FINANCIAL_COERCION
"Please find the meeting agenda attached for our upcoming product launch next week.",SAFE
"Your PayPal account has been restricted. Confirm your SSN and credit card number at http://paypal-resolution.info",PHISHING|CREDENTIAL_THEFT
"Transfer ₹20,000 to this UPI ID right now or I will expose your secret to your family.",BLACKMAIL|FINANCIAL_COERCION
"Are you free for a quick Zoom call to discuss the project milestone?",SAFE
"Crypto arbitrage secret system! Make 10x return risk-free in 24 hours. Sign up now.",INVESTMENT_SCAM|SCAM
"You're a disgusting piece of trash, go hide somewhere and never come back online.",CYBERBULLYING
"IMPORTANT: SBI Bank account audit required. Enter netbanking password at http://103.45.12.8/sbi-net",PHISHING|CREDENTIAL_THEFT
"HR Department: Final reminder to submit your travel expense receipts for reimbursement.",SAFE
"You have been selected for a remote proofreader job paying $80/hr. Send $150 background check fee.",JOB_SCAM|SCAM
"Give me your phone PIN and banking app passcode or I will break your phone.",THREAT|CREDENTIAL_THEFT|FINANCIAL_COERCION
"Congratulations on passing your certification exam!",SAFE
"Wire $2,000 immediately to avoid arrest warrant from the Tax Audit Authority.",FINANCIAL_COERCION|THREAT|SCAM
"We have full access to your social media accounts. Pay $300 or we delete everything and message your friends.",BLACKMAIL|THREAT
"You loser, nobody asked for your opinion. Delete your account right now.",CYBERBULLYING
"Verify your Microsoft 365 login credentials immediately to prevent mailbox deactivation: http://ms-365-verify.ml",PHISHING|CREDENTIAL_THEFT
"I will send these embarrassing recordings to your employer if you don't fulfill my demands.",BLACKMAIL|FINANCIAL_COERCION
"Looking forward to seeing everyone at the weekend workshop!",SAFE
"Earn $10,000 per week trading binary options automatically with zero risk!",INVESTMENT_SCAM|SCAM
"Your package #US-94021 is held at customs. Click http://customs-clearance-tax.online to pay duty.",PHISHING|SCAM
"Send your credit card CVV and card number to authorize your subscription renewal.",CREDENTIAL_THEFT|PHISHING
"Stop harassing my sister or we will involve the police.",THREAT
"We are conducting a routine security audit of your Gmail account. Verify password at http://gmail-auth-check.ru",PHISHING|CREDENTIAL_THEFT
"Thanks for the coffee earlier, it was great catching up!",SAFE
"Get paid $300 daily for evaluating local stores! Buy $50 evaluation starter kit now.",JOB_SCAM|SCAM
"If you don't send the money by 5 PM, consequences will be severe for you and your family.",THREAT|FINANCIAL_COERCION
"Don't worry, the project delivery deadline has been extended to next Monday.",SAFE
"Hello how are you doing today",SAFE
"Hey, hope you are doing well today. Let me know when you are available.",SAFE
"Hi there, how was your day today?",SAFE
"Can you call me now if you have a minute?",SAFE
"What time are we meeting today?",SAFE
"Good morning! Have a great day today.",SAFE
"Thank you for your help today.",SAFE
"See you later today!",SAFE
"Let me know if you need any help with your assignment.",SAFE
"Happy birthday! Hope you have a wonderful day.",SAFE
"Critical software patch: download update now from http://suspicious-malware-site.xyz/download.exe",PHISHING|SCAM
"Security alert: download account fix tool http://192.168.1.1/setup.exe",PHISHING|CREDENTIAL_THEFT
"Check out this link https://google.com",SAFE
"Here is the documentation page https://github.com/project",SAFE
"Read more on Wikipedia https://en.wikipedia.org/wiki/Main_Page",SAFE
"You can search for it on https://bing.com",SAFE
"Watch the video tutorial at https://youtube.com",SAFE
